"grant_name","AGRI","ARTS","BIOC","CENG","CHEM","COMP","DENT","EART","ENER","ENGI","ENVI","IMMU","MATE","MATH","MEDI","MULT","NEUR","NURS","PHAR","PHYS","PSYC","SOCI","VETE"
"Office of Nuclear Energy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Biomass Program",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Office of Defense Nuclear Security",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Research and Development",0,0,0,3,3,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0
"Biological and Environmental Research",0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"High Energy Physics",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
"Lawrence Livermore National Laboratory",0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Oak Ridge National Laboratory",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Fermilab",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Lawrence Berkeley National Laboratory",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"California Department of Fish and Wildlife",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
"Teva Pharmaceutical Industries",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Center for International Business Education and Research, University of Illinois at Urbana-Champaign",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Biogen Idec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"American Psychological Association",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"University of California, Santa Cruz",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"National Geographic Society",3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"Purdue University",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"AIDS Clinical Trials Group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Alexion Pharmaceuticals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Ariad Pharmaceuticals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Bureau for Economic Growth, Education, and Environment, United States Agency for International Development",1,0,1,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,0
"California Center for Population Research, University of California, Los Angeles",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Center for Selective C-H Functionalization, National Science Foundation",0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,2,0,0,0,0,0,0,0
"Celgene",0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"Center for Agroecology & Sustainable Food Systems, University of California, Santa Cruz",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Center for Emerging Infectious Diseases, University of Iowa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
"Center for Hierarchical Manufacturing, National Science Foundation",0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,2,0,0,0,0,0,0,0
"Center for Virus Research, University of California, Irvine",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columbia University",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"AbbVie",0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0
"Division of Agriculture and Natural Resources, University of California",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carolina Center of Cancer Nanotechnology Excellence, University of North Carolina - Chapel Hill",0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Division of Intramural Research, National Institute of Allergy and Infectious Diseases",0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,1,0,1,0,0
"Edwards Lifesciences",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"University of Southern Mississippi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Race and Difference Initiative, Emory University",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vanderbilt University",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"National Institute on Minority Health and Health Disparities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Anxiety and Depression Association of America",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FibroGen",0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Newton Public Schools, City of Newton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"National Institute on Handicapped Research",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Oregon Health and Science University",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"School of Social Sciences, University of California, Irvine",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thomas Wilson Sanitarium For Children of Baltimore City",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Army Research Laboratory",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"American Chemical Society Petroleum Research Fund",0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"GE Healthcare",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"University of North Carolina",0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Massachusetts Institute of Technology",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"University of Pennsylvania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"Ohio State University",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
"University of Mississippi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Graduate Center",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Office of Extramural Research, National Institutes of Health",0,0,2,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0
"California Institute of Technology",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Imedex",0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Jackson State University",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Laboratory Directed Research and Development",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,17,0,0,0,1,0,0,0
"Small Business Innovative Research and Small Business Technology Transfer",0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"F. Hoffmann-La Roche",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"University of Wisconsin-Madison",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Memorial Sloan-Kettering Cancer Center",0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Nvidia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
"San Diego State University",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sandler Foundation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Henry Samueli School of Engineering and Applied Science, University of California, Los Angeles",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stanley Medical Research Institute",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0
"University of Tulsa",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"University of Missouri",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Commonwealth Neurotrauma Initiative Trust Fund",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cincinnati Children's Hospital Medical Center",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Array BioPharma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Western Carolina University",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"University of California, Santa Barbara",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"University of California, Los Angeles",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Natural Science Foundation of Shanghai",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"National Foundation for Science and Technology Development",6,0,0,0,1,0,0,5,0,2,7,0,3,0,0,0,0,0,0,0,0,0,0
"Ministry of Science and Technology",0,0,6,2,3,2,0,1,1,6,9,0,6,0,2,0,1,0,1,23,0,0,0
"Harvard University",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Colorado State University",0,0,4,2,7,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"University of Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Creighton University",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Office of Naval Research Global",0,0,0,0,5,0,0,0,0,2,0,0,10,0,0,0,0,0,0,9,0,0,0
"Cleveland Clinic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"University of Texas MD Anderson Cancer Center",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"Division of Cancer Prevention, National Cancer Institute",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Massachusetts Eye and Ear",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Shire",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"University of Arizona Cancer Center",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Takeda Science Foundation",0,0,6,1,4,1,0,0,0,0,0,2,0,0,2,0,1,0,2,0,0,0,0
"Rufford Foundation",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Higher Education Research Promotion",4,0,2,1,5,0,1,0,3,2,0,1,1,0,0,1,0,1,2,2,0,0,0
"Arizona State University",0,0,3,0,0,0,0,0,0,0,3,2,0,0,2,0,0,0,0,0,0,0,0
"Bausch and Lomb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"University of Colorado Boulder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Biomedical Laboratory Research and Development, VA Office of Research and Development",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Biosense Webster",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Dairy Management",1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agro-Industry Research and Development Special Fund of China",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0
"City University of Hong Kong",1,0,0,0,0,0,0,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,1
"Belarusian Republican Foundation for Fundamental Research",0,0,0,2,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Bourns College of Engineering, University of California, Riverside",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"University of California, Riverside",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centre of Excellence for Environmental Decisions, Australian Research Council",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
"Stiftelsen för Miljöstrategisk Forskning",0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Departamento Administrativo de Ciencia, Tecnología e Innovación",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0
"École Normale Supérieure",0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"German-Russian Interdisciplinary Science Center",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lékařská Fakulta v Plzni, Univerzita Karlova",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asahi Glass Foundation",10,0,21,2,6,5,1,0,7,4,2,7,14,1,5,4,21,0,6,5,0,3,0
"King Chulalongkorn Memorial Hospital",3,0,8,1,0,4,0,0,0,2,0,16,2,0,57,3,3,1,14,1,0,0,3
"University of Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"University of California, Davis",4,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
"Michigan State University",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Takeda Pharmaceuticals U.S.A.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
"Astrophysics Science Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"American Urogynecologic Society",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Massachusetts Lions Eye Research Fund",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
"Engineering Laboratory",0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"Danone Research Centre for Specialised Nutrition",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Danone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
"Biocon",0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"North-Eastern Hill University",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Office of International Affairs",2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"National Center for Child Health and Development",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"National Research Centre",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Helsingin Yliopisto",2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Center for the Study of Women, University of California, Los Angeles",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Institute for Fermentation, Osaka",0,0,5,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"University of Washington",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"Alcon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Allergan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0
"American Glaucoma Society",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
"Kansas Bioscience Authority",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"Direktoratet for Utviklingssamarbeid",1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Respiratory Health Association",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0
"University of Kansas",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"School of Liberal Arts",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Johns Hopkins University",0,0,1,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0
"Centro de Investigação em Materiais Cerâmicos e Compósitos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"University of North Carolina at Chapel Hill",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"University of Arizona",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"College of Public Health",0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"University of California, San Diego",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"University of Texas Southwestern Medical Center",0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Agricultural Research Service",0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"University of Pittsburgh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"University of Oklahoma",0,0,1,1,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0
"Bristol-Myers Squibb Canada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Diabetes Center, University of California, San Francisco",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"University of California, San Francisco",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Department of Medicine, University of California, San Francisco",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"University of Nebraska-Lincoln",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"College of Agricultural and Life Sciences",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Children's Specialists Foundation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
"School of Medicine",0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Department of Surgery",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Hitachi",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Health Systems Institute",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Novartis Pharmaceuticals Corporation",0,0,2,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
"College of Medicine, University of Florida",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Science and Technology Directorate",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Pennsylvania State University",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"CSL Behring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Boehringer Ingelheim",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Statens Naturvidenskabelige Forskningsrad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Takeda Pharmaceutical Company",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Ministère de l'Éducation, du Loisir et du Sport Québec",2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Sundhed og Sygdom, Det Frie Forskningsråd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Endocyte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"School of Dentistry, University of California, San Francisco",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Department of Radiology and Biomedical Imaging, University of California, San Francisco",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Canadian Urological Association",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"University of California, Irvine",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Buckeye Career Center Foundation",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Boston Scientific Corporation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Open University",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"University of Maryland",0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"University of Illinois at Chicago",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Dan L. Duncan Cancer Center, Baylor College of Medicine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"University of Ottawa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Center for Duchenne Muscular Dystrophy, University of California, Los Angeles",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sumitomo Foundation",0,3,9,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0
"Rajiv Gandhi Foundation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Faculty of Medicine, McGill University",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Wilhelm Sander-Stiftung",0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Center for AIDS Research, University of California, San Diego",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Science and Industry Endowment Fund",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Agencia Nacional de Investigación e Innovación",0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
"Uehara Memorial Foundation",0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0
"Age Endeavour Fellowship",0,0,0,0,0,5,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
"Novartis Pharma",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"University of Akron",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Stryker",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Los Alamos National Laboratory",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0
"Ministry of Health and Welfare",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Taipei Hospital",0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0
"Ontario Brain Institute",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"California Earthquake Authority",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
"Department of Food Science and Technology, University of California, Davis",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Takahashi Industrial and Economic Research Foundation",1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Thailand Toray Science Foundation",5,0,3,0,1,0,0,0,3,0,0,3,1,0,0,1,1,0,0,2,0,1,0
"Philipps-Universität Marburg",0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"National Research Council",0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Medical College of Wisconsin",0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Qatar National Research Fund",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
"Centre for Asia-Pacific Initiatives",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Academic Senate, University of California, Riverside",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Uniwersytet Jagielloński Collegium Medicum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"U.S. President’s Emergency Plan for AIDS Relief",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Chaipattana Foundation",1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0
"Ningxia University",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jain University",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scuola Normale Superiore",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Universiti Brunei Darussalam",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shanghai Academy of Spaceflight Technology",1,0,0,1,1,0,0,0,2,1,1,0,1,0,0,0,0,0,0,2,0,0,0
"Shandong University",0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Harvard Transdisciplinary Research in Energetics and Cancer Center, Harvard University",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Ministry of Higher Education and Scientific Research",2,0,0,0,4,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0
"Karlsruhe Institute of Technology",0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0
"Queen Mary University of London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Smithsonian Environmental Research Center",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Smithsonian Tropical Research Institute",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"School of Energy Resources, University of Wyoming",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Optical Society",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"National Institute for Social Care and Health Research",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"American Association of Petroleum Geologists",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
